OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB551	Matthew Birt	9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.404815	Longitude	115.487092	Location	NW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 15:05:00
NCB533	Todd Bond	9.2		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.548790	Longitude	115.469700	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4	DateTimeIn	2014 10 29 10:34:00
NCB596	Emma Thillainath	10.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.561967	Longitude	115.580342	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 14:15:00
NCB524	Katrina Bornt	11.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.600113	Longitude	115.435570	Location	SW Montes	Status	Fished	Site		Visibility	5	DateTimeIn	2014 10 29 08:02:00
NCB532	Todd Bond	8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.544772	Longitude	115.457413	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	3.5	DateTimeIn	2014 10 29 10:28:00
NCB567	Matthew Birt	10.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.357863	Longitude	115.552257	Location	NE Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2014 10 30 08:00:00
NCB588	Emma Thillainath	8.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.479378	Longitude	115.575085	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 12:11:00
NCB529	Katrina Bornt	11.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.565655	Longitude	115.430498	Location	SW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 08:48:00
NCB535	Todd Bond	9.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.514815	Longitude	115.467708	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	3.5	DateTimeIn	2014 10 29 10:54:00
NCB547	Todd Bond	11.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.423132	Longitude	115.484462	Location	NW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 13:23:00
NCB542	Katrina Bornt	8.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.451412	Longitude	115.465863	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:06:00
NCB545	Todd Bond	9.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.435800	Longitude	115.476122	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:15:00
