OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB720	Todd	42.5		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.216	Longitude	115.33145	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 11:40:00
NCB719	Todd	51.5		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.225	Longitude	115.33253	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 11:36:00
NCB625	Katrina	23.5		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.352	Longitude	115.30709	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 17 12:16:00
NCB649	Katrina	42.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.264	Longitude	115.47558	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 18 11:54:00
NCB646	Todd	37.9		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.293	Longitude	115.46864	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 18 11:40:00
NCB681	Derek	36.3		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.338	Longitude	115.52941	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	7	DateTimeIn	2015 01 19 11:59:00
NCB630	Emma	49.2		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.318	Longitude	115.29277	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 17 14:29:00
NCB712	Katrina	48		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.219	Longitude	115.35737	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 09:09:00
NCB621	Matt	28.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.373	Longitude	115.33427	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 17 11:58:00
NCB718	Todd	41.1		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.233	Longitude	115.33335	Location	Montes	Status	Fished	Site		Visibility	9	DateTimeIn	2015 01 21 11:33:00
NCB717	Katrina	41.6		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.239	Longitude	115.33223	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 11:30:00
NCB676	Becca	11.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.356	Longitude	115.54955	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 19 11:45:00
NCB705	Katrina	31.8		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.453	Longitude	115.33355	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 20 13:54:00
NCB622	Matt	41.2		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.372	Longitude	115.33246	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 17 12:01:00
NCB654	Katrina	44.6		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.23	Longitude	115.44186	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 18 12:15:00
NCB696	Katrina	30.3		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.455	Longitude	115.45607	Location	S Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2015 01 20 13:06:00
NCB671	Matt	50.2		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.353	Longitude	115.61344	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 19 08:41:00
NCB714	Katrina	39.5		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.202	Longitude	115.36106	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 09:17:00
NCB609	Emma	29.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.404	Longitude	115.45887	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 17 09:01:00
NCB635	Emma	40.1		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.295	Longitude	115.22048	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 17 15:00:00
NCB610	Emma	23.3		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.402	Longitude	115.45061	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 17 09:07:00
NCB670	Matt	41.8		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.361	Longitude	115.60673	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 19 08:36:00
NCB688	Derek	52.1		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.312	Longitude	115.62166	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 19 15:08:00
NCB695	Matt	56.9		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.264	Longitude	115.65745	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 19 15:32:00
NCB650	Katrina	40.8		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.255	Longitude	115.46988	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 18 11:57:00
NCB624	Todd	21.6		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.359	Longitude	115.30805	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 17 12:12:00
